factor,ic1,icir1,days,ic5,icir5,ic10,icir10,ic20,icir20
mf_volume_sync_corr_w20,,,0,,,,,,
mf_panic_dispersion_w20,,,0,,,,,,
mf_path_tortuosity_w20,0.028667982291447094,0.15074086882377416,1292,0.03834760537716412,0.20334452800265396,0.044003196595919676,0.23194908299921738,0.058440826276850905,0.31687477703939326
mf_amihud_intraday_w20,0.003180184101582073,0.025659597043124812,1292,0.011105988501189866,0.0902470864699146,0.01431698922997273,0.12174981813428276,0.020533775363244976,0.18146727041137908
mf_direction_changes_w20,-0.019652109108531574,-0.11971783200285424,1292,-0.0212920710040581,-0.1280611281625689,-0.022833104945326428,-0.1393266344828907,-0.028300321916602596,-0.1755792869340056
mf_upper_shadow_minute_share,-0.013688445895696944,-0.09423279145574705,1292,-0.01646721393800033,-0.11412958902167239,-0.02071190580408668,-0.14183891105587823,-0.03189869794671754,-0.2243098821532102
mf_trend_capital_vwap_gap,,,0,,,,,,
mf_trend_capital_ret_w20,,,0,,,,,,
mf_herd_follow_ratio_w20,,,0,,,,,,
mf_vol_range1min_std_w20,,,0,,,,,,
mf_minute_ols_qrs_w20,-0.0378679461497092,-0.18268607381864566,1292,-0.05354059086919345,-0.2660118867952265,-0.06076016540087661,-0.297023570297514,-0.0781288842335038,-0.3886701516269233
mf_minute_ols_r2_mean_w20,-0.0056918794946539545,-0.04867379672582432,1292,-0.00861820770435373,-0.07415416483130252,-0.010450072193646758,-0.09122779053124268,-0.014950080848980522,-0.13338824459845616
mf_between_momentum_w20,-0.027757140133297303,-0.12302109117307891,1292,-0.036959832094552544,-0.16736475912025542,-0.040580063527158504,-0.18162968855144285,-0.05302693278608747,-0.24553199050752905
mf_chip_top3_return_bin_share,-0.005909722077776581,-0.03536969584624068,1292,-0.009312324877313819,-0.05804192308375296,-0.012667859665877492,-0.08060507580980321,-0.01854968560738649,-0.1279234720177682
mf_doc_pdf80,0.01172709769614824,0.0736356632419036,1292,0.016536334944879515,0.10461970451335166,0.021822614584202753,0.13846840876144736,0.03275701015898781,0.21435119390319712
mf_ideal_amplitude_d20,-0.03661141497298565,-0.18402846847693902,1292,-0.053477289072035444,-0.2841662537793189,-0.0636915742532627,-0.33375345342982976,-0.08595006725879169,-0.4610119830543735
mf_ideal_turnover_d20,-0.018645358669618067,-0.14433655926639546,1292,-0.029846054321347328,-0.2333405752340335,-0.03478285619554993,-0.28831049565072225,-0.04102748432640424,-0.339985190110538
